France,"Category:French_Revolution_films"
Italy,"Category:Films_set_in_ancient_Rome"
Italy,"Category:Italian_historical_films"
Japan,"Category:Films_set_in_Edo"
Japan,"Category:Films_set_in_feudal_Japan"
Japan,"Category:Jidaigeki_films"
Japan,"Category:Films_set_in_the_Meiji_period"
Japan,"Category:Pacific_War_films"
Japan,"Category:Second_Sino-Japanese_War_films"
Pakistan,"Category:Films_set_in_ancient_India"
Saudi_Arabia,"Category:Films_about_Muhammad"
Sri_Lanka,"Category:Films_set_in_the_Anuradhapura_period"
Sri_Lanka,"Category:Films_set_in_British_Ceylon"
Sri_Lanka,"Category:Films_set_in_the_Crisis_of_the_Sixteenth_Century"
Sri_Lanka,"Category:Films_set_in_the_Pre_Anuradhapura_period"
Sri_Lanka,"Category:Films_set_in_Sri_Lanka_(1948â€“present)"
Sri_Lanka,"Category:Films_set_in_the_Transitional_period_of_Sri_Lanka"
the_United_States,"Category:Films_set_in_the_Victorian_era"
the_United_States,"Category:American_Indian_Wars_films"
